date,precipitation
2017-03-10,0.0
2017-03-10,0.03
2017-03-10,0.0
2017-03-10,0.13
2017-03-10,0.0
2017-03-11,0.0
2017-03-11,0.0
2017-03-11,0.03
2017-03-11,0.01
2017-03-11,0.0
2017-03-12,0.0
2017-03-12,
2017-03-12,0.0
2017-03-12,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-13,0.0
2017-03-13,0.0
2017-03-13,
2017-03-13,0.0
2017-03-13,
2017-03-13,0.0
2017-03-14,0.0
2017-03-14,0.0
2017-03-14,0.0
2017-03-14,0.06
2017-03-14,0.0
2017-03-14,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-15,0.06
2017-03-15,0.0
2017-03-15,0.0
2017-03-15,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-16,0.0
2017-03-16,
2017-03-16,0.0
2017-03-16,0.0
2017-03-16,
2017-03-16,0.0
2017-03-17,0.12
2017-03-17,
2017-03-17,0.0
2017-03-17,0.35
2017-03-17,0.06
2017-03-17,0.19
2017-03-18,0.0
2017-03-18,
2017-03-18,0.0
2017-03-18,0.0
